Datetime,Heart Rate
2019-12-06 11:26:55,128
2019-12-06 11:27:00,130
2019-12-06 11:27:05,131
2019-12-06 11:27:20,132
2019-12-06 11:27:25,130
2019-12-06 11:27:30,131
2019-12-06 11:27:35,129
2019-12-06 11:27:40,128
2019-12-06 11:27:45,129
2019-12-06 11:27:50,132
2019-12-06 11:27:55,135
2019-12-06 11:28:05,134
2019-12-06 11:28:15,135
2019-12-06 11:28:20,138
2019-12-06 11:28:25,140
2019-12-06 11:28:30,142
2019-12-06 11:28:35,146
2019-12-06 11:28:40,149
2019-12-06 11:28:45,151
2019-12-06 11:28:50,149
2019-12-06 11:28:55,150
2019-12-06 11:29:00,154
2019-12-06 11:29:05,153
2019-12-06 11:29:10,151
2019-12-06 11:29:15,147
2019-12-06 11:29:20,140
2019-12-06 11:29:25,135
2019-12-06 11:29:30,130
2019-12-06 11:29:35,128
2019-12-06 11:29:40,124
2019-12-06 11:29:45,119
2019-12-06 11:29:50,118
2019-12-06 11:29:55,115
2019-12-06 11:30:00,113
2019-12-06 11:30:10,115
2019-12-06 11:30:15,116
2019-12-06 11:30:20,115
2019-12-06 12:25:04,70
2019-12-06 12:31:22,70
2019-12-06 12:32:36,70
2019-11-12 12:59:07,96
2019-11-12 12:59:17,97
2019-11-12 12:59:22,99
2019-11-12 12:59:27,98
2019-11-12 12:59:32,99
2019-11-12 12:59:37,98
2019-11-12 12:59:42,97
2019-11-12 12:59:47,96
2019-11-12 12:59:52,95
2019-11-12 12:59:57,93
2019-11-12 13:00:02,99
2019-11-12 13:00:07,98
2019-11-12 13:00:13,94
2019-11-12 13:00:18,90
2019-11-12 13:00:23,92
2019-11-12 13:00:28,94
2019-11-12 13:00:43,93
2019-11-12 13:00:53,94
2019-11-12 13:00:58,94
2019-11-12 13:01:03,93
2019-11-12 13:01:18,96
2019-11-12 13:01:23,98
2019-11-12 13:01:28,99
2019-11-12 13:01:33,100
2019-11-12 13:01:38,102
2019-11-12 13:01:43,106
2019-11-12 13:01:48,108
2019-11-12 13:01:53,109
2019-11-12 13:02:08,107
2019-11-12 13:02:13,105
2019-11-12 13:02:23,104
2019-11-12 13:02:28,100
2019-11-12 13:02:33,101
2019-11-12 13:02:38,100
2019-11-12 13:02:48,97
2019-11-12 13:03:03,97
2019-11-12 13:03:13,98
2019-11-12 13:03:18,102
2019-11-12 13:03:23,101
2019-11-12 13:03:28,102
2019-11-12 13:03:33,107
2019-11-12 13:03:38,108
2019-11-12 13:03:43,106
2019-11-12 13:03:48,104
2019-11-12 13:03:53,102
2019-11-12 13:03:58,98
2019-11-12 13:04:03,97
2019-11-12 13:04:08,98
2019-11-12 13:04:13,99
2019-11-12 13:04:18,102
2019-11-12 13:04:28,101
2019-11-12 13:04:33,100
2019-11-12 13:04:38,101
2019-11-12 13:04:53,101
2019-11-12 13:04:58,100
2019-11-12 13:05:03,98
2019-11-12 13:05:08,97
2019-11-12 13:05:13,99
2019-11-12 13:05:23,100
2019-11-12 13:05:28,99
2019-11-12 13:05:33,98
2019-11-12 13:05:38,99
2019-11-12 13:05:43,101
2019-11-12 13:05:53,100
2019-11-12 13:05:58,102
2019-11-12 13:06:03,101
2019-11-12 13:06:08,109
2019-11-12 13:06:13,114
2019-11-12 13:06:18,111
2019-11-12 13:06:23,113
2019-11-12 13:06:28,118
2019-11-12 13:06:33,119
2019-11-12 13:06:38,117
2019-11-12 13:06:43,116
2019-11-12 13:06:48,114
2019-11-12 13:07:03,112
2019-11-12 13:07:08,110
2019-11-12 13:07:13,107
2019-11-12 13:07:18,103
2019-11-12 13:07:23,101
2019-11-12 13:07:33,98
